Type,All,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,NewHampshire,NewJersey,New Mexico,NewYork,NorthCarolina,NorthDakota,Ohio,Oklahoma,Oregon,Pennsylvania,RhodeIsland,SouthCarolina,SouthDakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,WestVirginia,Wisconsin,Wyoming
Low carbon,348118.5,9462.6,593.8,10342.6,3590.7,42134.7,4969.9,2882.7,135.9,5938.6,9592.4,1189.6,3925.2,16782.3,2291,7798.4,6242.9,1135.1,3110.5,2541.8,3510,4477.2,9087.6,6573.4,1772.3,3171.6,3326.7,2487.6,3802.5,2191.4,6837.8,2101,15075.1,11135.2,3701.7,3288.7,7829.1,12283.6,15190.7,139.4,11433.8,2441.6,9547.6,28675.6,1758.4,680.4,8790.3,26281.7,1127.5,2944.9,1793.4
High carbon,849557.9,22102,2418,22637.2,12748.7,44427.9,13153.6,7054.7,3545.7,63939.9,29920,2310.6,1305.9,34030.9,26413.4,11289.7,10833.8,22692.1,25507.6,2697.8,11567.9,11375.3,23087.4,11490.8,16334.9,20712.8,3092,6746.7,9438.7,2483.7,15200.1,7574.2,29042.7,24393.2,4923.8,28426.6,20477.6,4972.9,33199.4,1990.8,13303.9,1955.4,14627.1,101108.8,8193.3,132.9,20407.4,5543.9,14868.8,16165.9,7689.5
